text,label
Impeccable sound design immerses you.,1
Stock footage is glaringly obvious.,0
Balances humor and drama perfectly.,1
Overly simplistic moral messaging.,0
Rewriting the rules of its genre.,1
Bad muzzle flashes in shootout scenes.,0
Characters you genuinely care about.,1
Time travel rules make no sense.,0
Stunning practical effects and makeup.,1
Alien designs are laughably unoriginal.,0
Emotionally devastating in best way.,1
Overly dramatic score for mundane scenes.,0
Every shot could be a painting.,1
Bad crash physics in car chase scenes.,0
"Smart, sophisticated, and moving.",1
Stunt driving is clearly speed-ramped.,0
Perfect from first frame to last.,1
Overuse of lens flares is distracting.,0
Deeply personal yet universal.,1
Bad fire effects look like animated GIFs.,0
Masterclass in tension-building.,1
Unnecessary love triangle subplot.,0
Authentic period details throughout.,1
Overly long establishing shots waste time.,0
Brilliantly subverts expectations.,1
Bad weather effects look like stock footage.,0
Oscar-worthy in every category.,1
Underwater scenes are clearly dry-for-wet.,0
Flawless execution of bold vision.,1
Overuse of narration explains obvious.,0
Characters with genuine complexity.,1
Bad compositing in flying scenes.,0
Perfect balance of style and substance.,1
Product placement is shamelessly obvious.,0
Emotionally raw and powerful.,1
Overly cute animal sidekick is annoying.,0
"Bold, daring, and utterly original.",1
Bad crowd replication in battle scenes.,0
"Rich, complex, and deeply rewarding.",1
Overly sanitized violence lacks impact.,0
One of the best films of the decade.,1
Bad muzzle flashes in shootout scenes.,0
Dream sequences serve no purpose.,1
Overly long transformation sequences.,0
Socially relevant and timely.,1
Bad blood splatter physics.,0
Rewatch value is off the charts.,1
Training montage is clichéd and lazy.,0
Perfect from start to finish.,1
Overly long dance sequence adds nothing.,0
Nuanced performances elevate material.,1
Bad superspeed effects look like fast-forward.,0
A film that truly matters.,1
Villain monologuing trope is overdone.,0
Technically flawless filmmaking.,1
Overly bright lighting ruins dark scenes.,0
Layered with meaning and subtext.,1
Bad explosion physics.,0
Will stand the test of time.,1
Caricature villains lack depth.,0
Artistry in every frame.,1
Overly complicated heist plan.,0
Emotionally charged and unforgettable.,1
Bad hair and makeup for period pieces.,0
Refreshing take on familiar story.,1
Stock sound effects are overused.,0
Powerful message delivered subtly.,1
Overly dramatic death scenes.,0
Every performance feels authentic.,1
Bad CGI crowds in stadium shots.,0
Perfect blend of heart and intelligence.,1
Token comic relief character falls flat.,0
Visual storytelling at its finest.,1
Overly long space battle sequences.,0
Smart writing with clever foreshadowing.,1
Bad hologram effects.,0
Deeply immersive experience.,1
Clichéd amnesia plotline.,0
Left me emotionally drained in best way.,1
Overly sentimental ending feels unearned.,0
Masterful blend of action and emotion.,1
Bad time-lapse photography.,0
Characters with realistic motivations.,1
Token romantic subplot feels forced.,0
Inventive visual techniques throughout.,1
Overly cute meet-cute scenario.,0
Perfectly captures human experience.,1
Bad bullet time effects.,0
"Tense, thrilling, and thought-provoking.",1
Clichéd courtroom speech.,0
Beautifully understated yet powerful.,1
Overly dramatic training sequence.,0
Every technical element is top-notch.,1
Bad freeze frame effects.,0
Will be studied for years to come.,1
Token ethnic stereotype character.,0
Balances multiple tones perfectly.,1
Overly long musical number.,0
A rare perfect film.,1
Bad morphing effects.,0
Exceeds expectations in every way.,1
Clichéd sports movie tropes.,0
Stunning in both scope and intimacy.,1
Overly dramatic revelation scene.,0
Rewards viewers' emotional investment.,1
Bad teleportation effects.,0
Full of surprises and genuine emotion.,1
Token inspirational teacher character.,0
Perfectly paced with no wasted moments.,1
Overly long wedding sequence.,0
Visual poetry in motion.,1
Bad disintegration effects.,0
Powerful and poignant throughout.,1
Clichéd evil twin plotline.,0
Flawless performances from entire cast.,1
Overly dramatic hospital scene.,0
Every creative choice feels purposeful.,1
Bad invisibility effects.,0
Deeply satisfying on every level.,1
Token wise old mentor character.,0
Richly detailed and emotionally complex.,1
Overly long funeral sequence.,0
Left me speechless with its beauty.,1
Bad size-changing effects.,0
A triumph of modern cinema.,1
Clichéd last-minute rescue.,0
Emotionally intelligent storytelling.,1
Overly dramatic goodbye scene.,0
Perfect casting across the board.,1
Bad flight effects.,0
Will leave you thinking for days.,1
Token nerdy tech expert character.,0
Staggering in its ambition and execution.,1
Overly long birth sequence.,0
Masterpiece of tension and release.,1
Bad super strength effects.,0
"Complex, challenging, and rewarding.",1
Clichéd mysterious stranger trope.,0
Every element serves the story perfectly.,1
Overly dramatic reunion scene.,0
Technical brilliance in service of story.,1
Bad telekinesis effects.,0
Worthy of all its accolades.,1
Token sassy best friend character.,0
Bold vision executed to perfection.,1
Overly long graduation sequence.,0
Will restore your faith in cinema.,1
Bad cloning effects.,0
Deeply human and profoundly moving.,1
Clichéd chosen one narrative.,0
Stands tall among modern classics.,1
Overly dramatic sacrifice scene.,0
"Powerful, timely, and essential.",1
Bad time stop effects.,0
Perfect antidote to formulaic films.,1
Token gruff military character.,0
Lingers in your mind for weeks.,1
Overly long award ceremony.,0
Brilliant in both concept and execution.,1
Bad duplication effects.,0
Unforgettable performances throughout.,1
Clichéd love triangle resolution.,0
Transcends its genre conventions.,1
Overly dramatic confrontation scene.,0
Deserves every ounce of praise.,1
Bad shrinking effects.,0
Raises the bar for cinematic art.,1
Token mysterious benefactor character.,0
Strikes perfect emotional chords.,1
Overly long coronation sequence.,0
Virtually flawless in every aspect.,1
Bad growth effects.,0
Will be remembered for generations.,1
Clichéd villain redemption arc.,0
Sets a new benchmark for quality.,1
Overly dramatic victory scene.,0
Breathtaking in its originality.,1
Bad phasing effects.,0
Destined to become a classic.,1
Token plucky reporter character.,0
Revolutionary approach to storytelling.,1
Overly long trial sequence.,0
Shows cinema at its very best.,1
Bad possession effects.,0
Redefines what films can achieve.,1
Clichéd memory restoration scene.,0
Perfect storm of talent and vision.,1
Overly dramatic execution scene.,0
Will be analyzed for decades.,1
Bad transformation effects.,0
Pushes boundaries of the medium.,1
Token comic book nerd character.,0
Exemplary in every filmmaking category.,1
Overly long tournament sequence.,0
Transcendent cinematic experience.,1
Bad duplication effects.,0
An absolute revelation to behold.,1
Clichéd prophecy fulfillment.,0
Exquisitely crafted in every detail.,1
Overly dramatic escape scene.,0
Will leave you emotionally spent.,1
Bad illusion effects.,0
Masterfully blends genres.,1
Token conspiracy theorist character.,0
Pinnacle of artistic achievement.,1
Overly long chase sequence.,0
Redefines excellence in filmmaking.,1
Bad summoning effects.,0
Perfect marriage of form and content.,1
Clichéd fake death reveal.,0
Will inspire future filmmakers.,1
Overly dramatic standoff scene.,0
Virtuoso filmmaking on display.,1
Bad resurrection effects.,0
Sets a new gold standard.,1
Token hacker character.,0
Exemplifies the power of cinema.,1
Overly long heist sequence.,0
"Bold, brilliant, and beautiful.",1
Bad astral projection effects.,0
Will be cherished for generations.,1
Clichéd twin switch reveal.,0
Perfect in ways few films achieve.,1
Overly dramatic duel scene.,0
Transports you to another world.,1
Bad mind control effects.,0
Redefines its genre entirely.,1
Token psychic character.,0
Flawless from conception to execution.,1
Overly long battle sequence.,0
Will leave you breathless.,1
Bad elemental control effects.,0
Exceeds even the highest expectations.,1
Clichéd amnesia resolution.,0
Masterpiece in every sense.,1
Overly dramatic final scene.,0
Perfect storm of creative genius.,1
Bad telepathy effects.,0
Will be talked about for years.,1
Token alien character.,0
Transcends typical genre limitations.,1
Overly long space sequence.,0
Will restore your faith in storytelling.,1
Bad demonic possession effects.,0
Perfect execution of bold ideas.,1
Clichéd villain monologue.,0
Redefines cinematic excellence.,1
Overly dramatic climax scene.,0
Will leave you utterly transformed.,1
Bad angelic transformation effects.,0
Perfect blend of artistry and entertainment.,1
Token ghost character.,0
Will inspire countless imitators.,1
Overly long underwater sequence.,0
Perfect example of film as art.,1
Bad werewolf transformation effects.,0
Will be remembered as groundbreaking.,1
Clichéd villain origin story.,0
Perfect in its simplicity and depth.,1
Overly dramatic rescue scene.,0
Will leave audiences speechless.,1
Bad vampire transformation effects.,0
Perfect from the first frame.,1
Token zombie character.,0
Will change how you see cinema.,1
Overly long apocalypse sequence.,0
Perfect harmony of all elements.,1
Bad Frankenstein creation effects.,0
Will be studied in film schools.,1
Clichéd mad scientist trope.,0
Perfect balance of light and dark.,1
Overly dramatic creation scene.,0
Will stand as a timeless classic.,1
Bad mermaid transformation effects.,0
Perfect showcase of cinematic craft.,1
Token wizard character.,0
Will leave you emotionally full.,1
Overly long magic sequence.,0
Perfect realization of its vision.,1
Bad dragon flight effects.,0
Will make you believe in film again.,1
Clichéd evil wizard trope.,0
Perfect expression of its themes.,1
Overly dramatic spellcasting scene.,0
Will astonish you with its brilliance.,1
Bad giant monster effects.,0
Perfect in its ambition and execution.,1
Token fairy character.,0
Will remind you why you love movies.,1
Overly long fairy tale sequence.,0
Perfect culmination of its genre.,1
Bad time travel effects.,0
Will leave you in awe of its craft.,1
Clichéd evil queen trope.,0
Perfect from concept to completion.,1
Overly dramatic curse scene.,0
Will be hailed as a masterpiece.,1
Bad robot transformation effects.,0
Perfect synthesis of art and entertainment.,1
Token cyborg character.,0
Will restore your faith in originality.,1
Overly long robot battle sequence.,0
Perfect example of visual storytelling.,1
Bad superhero landing effects.,0
Will leave you emotionally raw.,1
Clichéd evil corporation trope.,0
Perfect in its emotional honesty.,1
Overly dramatic origin story scene.,0
Will be referenced for decades.,1
Bad power activation effects.,0
Perfect blend of style and substance.,1
Token mutant character.,0
Will make you see the world differently.,1
Overly long training sequence.,0
Perfect marriage of story and spectacle.,1
Bad energy blast effects.,0
Will leave you utterly satisfied.,1
Clichéd secret identity reveal.,0
Perfect antidote to cynical filmmaking.,1
Overly dramatic final battle scene.,0
Will remind you of cinema's potential.,1
Bad super speed effects.,0
Perfect in its emotional complexity.,1
Token alien invader character.,0
Will leave you emotionally spent.,1
Overly long invasion sequence.,0
Perfect showcase of acting talent.,1
Bad force field effects.,0
Will stand as a towering achievement.,1
Clichéd chosen one trope.,0
Perfect from its quiet moments to big scenes.,1
Overly dramatic prophecy scene.,0
Will leave you profoundly moved.,1
Bad invisibility effects.,0
Perfect in ways you can't anticipate.,1
Token time traveler character.,0
Will restore your belief in great filmmaking.,1
Overly long time travel sequence.,0
Perfect execution of a bold vision.,1
Bad parallel universe effects.,0
Will leave you emotionally shaken.,1
Clichéd alternate reality trope.,0
Perfect in its storytelling economy.,1
Overly dramatic dimension scene.,0
Will be remembered as a landmark.,1
Bad portal effects.,0
Perfect in its emotional authenticity.,1
Token demon character.,0
Will leave you with profound thoughts.,1
Overly long exorcism sequence.,0
Perfect balance of intellect and emotion.,1
Bad possession effects.,0
Will remind you why cinema matters.,1
Clichéd haunted house trope.,0
Perfect synthesis of all its elements.,1
Overly dramatic ghost scene.,0
Will leave you emotionally fulfilled.,1
Bad poltergeist effects.,0
Perfect in its thematic coherence.,1
Token vampire hunter character.,0
Will stand as a testament to the art form.,1
Overly long vampire hunt sequence.,0
Perfect realization of creative ambition.,1
Bad bat transformation effects.,0
Will leave you absolutely satisfied.,1
Clichéd vampire romance trope.,0
Perfect in its emotional resonance.,1
Overly dramatic turning scene.,0
Will be cherished as a classic.,1
Bad immortality effects.,0
Perfect from its opening to closing shots.,1
Token werewolf hunter character.,0
Will leave you emotionally complete.,1
Overly long werewolf hunt sequence.,0
Perfect example of cinematic poetry.,1
Bad full moon transformation effects.,0
Will restore your faith in bold filmmaking.,1
Clichéd werewolf pack trope.,0
Perfect in its narrative symmetry.,1
Overly dramatic alpha scene.,0
Will be remembered as seminal work.,1
Bad silver bullet effects.,0
Perfect in its emotional truth.,1
Token ghost hunter character.,0
Will leave you utterly transported.,1
Overly long ghost hunt sequence.,0
Perfect expression of its creator's vision.,1
Bad ectoplasm effects.,0
Will stand as a defining achievement.,1
Clichéd haunted artifact trope.,0
Perfect in its dramatic construction.,1
Overly dramatic exorcism scene.,0
Will leave you profoundly affected.,1
Bad demon summoning effects.,0
Perfect showcase of directorial mastery.,1
Token witch character.,0
Will remind you of film's transformative power.,1
Overly long coven sequence.,0
Perfect in its execution of complex ideas.,1
Bad spellcasting effects.,0
Will leave you emotionally overwhelmed.,1
Clichéd dark magic trope.,0
Perfect in its thematic depth.,1
Overly dramatic curse scene.,0
Will be studied for its craftsmanship.,1
Bad potion effects.,0
Perfect realization of artistic intent.,1
Token necromancer character.,0
Will leave you completely satisfied.,1
Overly long resurrection sequence.,0
Perfect in its storytelling clarity.,1
Bad zombie creation effects.,0
Will stand as a high water mark.,1
Clichéd undead army trope.,0
Perfect in its emotional impact.,1
Overly dramatic apocalypse scene.,0
Will leave you utterly convinced.,1
Bad plague effects.,0
Perfect from its smallest to biggest moments.,1
Token mad scientist character.,0
Will remind you why we make movies.,1
Overly long experiment sequence.,0
Perfect in its narrative completeness.,1
Bad mutation effects.,0
Will leave you emotionally satiated.,1
Clichéd rogue AI trope.,0
Perfect in its character development.,1
Overly dramatic takeover scene.,0
Will be remembered as a touchstone.,1
Bad hologram effects.,0
Perfect in its visual storytelling.,1
Token robot character.,0
Will leave you completely fulfilled.,1
Overly long rebellion sequence.,0
Perfect example of cinematic alchemy.,1
Bad AI voice effects.,0
Will stand as a crowning achievement.,1
Clichéd robot uprising trope.,0
Perfect in its thematic richness.,1
Overly dramatic revolution scene.,0
Will leave you emotionally complete.,1
Bad mechanical effects.,0
Perfect realization of cinematic potential.,1
Token cyborg character.,0
Will remind you of film's possibilities.,1
Overly long cyberwar sequence.,0
Perfect in its emotional architecture.,1
Bad hacking effects.,0
Will leave you absolutely convinced.,1
Clichéd cyberpunk dystopia trope.,0
Perfect in its narrative propulsion.,1
Overly dramatic showdown scene.,0
Will be remembered as visionary.,1
Bad neural interface effects.,0
Perfect in its character dynamics.,1
Token hacker character.,0
Will leave you profoundly satisfied.,1
Overly long data heist sequence.,0
Perfect example of pure cinema.,1
Bad virtual reality effects.,0
Will stand as a monumental achievement.,1
Clichéd simulation trope.,0
Perfect in its emotional journey.,1
Overly dramatic escape scene.,0
Will leave you utterly transported.,1
Bad glitch effects.,0
Perfect in its thematic resonance.,1
Token AI companion character.,0
Will remind you why we tell stories.,1
Overly long training sequence.,0
Perfect in its cinematic language.,1
Bad learning montage effects.,0
Will leave you emotionally whole.,1
Clichéd father-son robot trope.,0
Perfect in its narrative economy.,1
Overly dramatic sacrifice scene.,0
Will be remembered as transcendent.,1
Bad memory wipe effects.,0
Perfect realization of film's potential.,1
Token child prodigy character.,0
Will leave you completely moved.,1
Overly long competition sequence.,0
Perfect in its dramatic tension.,1
Bad superhuman effects.,0
Will stand as a defining work.,1
Clichéd mentor-student trope.,0
Perfect in its visual poetry.,1
Overly dramatic final test scene.,0
Will leave you profoundly touched.,1
Bad power surge effects.,0
Perfect in its emotional truth.,1
Token alien hybrid character.,0
Will remind you of cinema's magic.,1
Overly long hybrid sequence.,0
Perfect in its storytelling purity.,1
Bad DNA effects.,0
Will leave you utterly fulfilled.,1
Clichéd alien royalty trope.,0
Perfect in its thematic unity.,1
Overly dramatic coronation scene.,0
Will be remembered as groundbreaking.,1
Bad energy absorption effects.,0
Perfect in its character arcs.,1
Token time anomaly character.,0
Will leave you emotionally satisfied.,1
Overly long paradox sequence.,0
Perfect example of film craft.,1
Bad timeline effects.,0
Will stand as a towering work.,1
Clichéd grandfather paradox trope.,0
Perfect in its narrative ambition.,1
Overly dramatic timeline scene.,0
Will leave you completely astonished.,1
Bad alternate self effects.,0
Perfect in its emotional depth.,1
Token parallel universe character.,0
Will remind you why we love movies.,1
Overly long crossover sequence.,0
Perfect in its visual imagination.,1
Bad dimensional rift effects.,0
Will leave you profoundly stirred.,1
Clichéd multiverse trope.,0
Perfect in its storytelling mastery.,1
Overly dramatic collision scene.,0
Will be remembered as iconic.,1
Bad universe collapse effects.,0
Perfect in its thematic complexity.,1
Token reality warper character.,0
Will leave you emotionally shaken.,1
Overly long warping sequence.,0
Perfect in its cinematic expression.,1
Bad probability effects.,0
Will stand as a masterpiece.,1
Clichéd chosen reality trope.,0
Perfect in its dramatic payoff.,1
Overly dramatic creation scene.,0
Will leave you utterly convinced.,1
Bad cosmic entity effects.,0
Perfect in its artistic vision.,1
Token elder god character.,0
Will remind you of film's power.,1
Overly long summoning sequence.,0
Perfect in its narrative cohesion.,1
Bad eldritch horror effects.,0
Will leave you completely satisfied.,1
Clichéd forbidden knowledge trope.,0
Perfect in its emotional weight.,1
Overly dramatic awakening scene.,0
Will be remembered as visionary.,1
Bad sanity effects.,0
Perfect in its thematic resonance.,1
Token cultist character.,0
Will leave you profoundly moved.,1
Overly long ritual sequence.,0
Perfect example of pure cinema.,1
Bad sacrifice effects.,0
Will stand as a high water mark.,1
Clichéd apocalypse cult trope.,0
Perfect in its character development.,1
Overly dramatic end times scene.,0
Will leave you emotionally fulfilled.,1
Bad doomsday effects.,0
Perfect in its storytelling clarity.,1
Token prophet character.,0
Will remind you why we make films.,1
Overly long prophecy sequence.,0
Perfect in its visual storytelling.,1
Bad vision effects.,0
Will leave you utterly transported.,1
Clichéd messiah trope.,0
Perfect in its thematic depth.,1
Overly dramatic revelation scene.,0
Will be remembered as seminal.,1
Bad miracle effects.,0
Perfect in its emotional authenticity.,1
Token angel character.,0
Will leave you completely convinced.,1
Overly long heavenly sequence.,0
Perfect in its narrative ambition.,1
Bad divine intervention effects.,0
Will stand as a crowning achievement.,1
Clichéd heavenly war trope.,0
Perfect in its character arcs.,1
Overly dramatic battle scene.,0
Will leave you profoundly affected.,1
Bad resurrection effects.,0
Perfect in its thematic richness.,1
Token demon hunter character.,0
Will remind you of cinema's potential.,1
Overly long purgatory sequence.,0
Perfect in its emotional truth.,1
Bad soul effects.,0
Will leave you utterly satisfied.,1
Clichéd redemption trope.,0
Perfect in its visual poetry.,1
Overly dramatic judgment scene.,0
Will be remembered as groundbreaking.,1
Bad afterlife effects.,0
Perfect in its storytelling economy.,1
Token reaper character.,0
Will leave you emotionally complete.,1
Overly long death sequence.,0
Perfect example of cinematic art.,1
Bad ghostly effects.,0
Will stand as a monumental work.,1
Clichéd unfinished business trope.,0
Perfect in its thematic unity.,1
Overly dramatic farewell scene.,0
Will leave you profoundly touched.,1
Bad spirit world effects.,0
Perfect in its character dynamics.,1
Token medium character.,0
Will remind you why we tell stories.,1
Overly long seance sequence.,0
Perfect in its narrative propulsion.,1
Bad possession effects.,0
Will leave you completely moved.,1
Clichéd exorcism trope.,0
Perfect in its emotional architecture.,1
Overly dramatic cleansing scene.,0
Will be remembered as visionary.,1
Bad poltergeist effects.,0
Perfect in its visual imagination.,1
Token paranormal investigator character.,0
Will leave you utterly astonished.,1
Overly long investigation sequence.,0
Perfect in its storytelling purity.,1
Bad EVP effects.,0
Will stand as a defining achievement.,1
Clichéd haunted location trope.,0
Perfect in its thematic complexity.,1
Overly dramatic confrontation scene.,0
Will leave you emotionally whole.,1
Bad entity effects.,0
Perfect in its cinematic language.,1
Token skeptic character.,0
Will remind you of film's magic.,1
Overly long debunking sequence.,0
Perfect in its dramatic tension.,1
Bad supernatural effects.,0
Will leave you profoundly satisfied.,1
Clichéd believer-skeptic trope.,0
Perfect in its emotional journey.,1
Overly dramatic revelation scene.,0
Will be remembered as transcendent.,1
Bad ghostly apparition effects.,0
Perfect in its narrative completeness.,1
Token psychic child character.,0
Will leave you completely fulfilled.,1
Overly long manifestation sequence.,0
Perfect example of film craft.,1
Bad telekinesis effects.,0
Will stand as a towering achievement.,1
Clichéd government conspiracy trope.,0
Perfect in its thematic resonance.,1
Overly dramatic cover-up scene.,0
Will leave you utterly transported.,1
Bad surveillance effects.,0
Perfect in its character development.,1
Token whistleblower character.,0
Will remind you why we love movies.,1
Overly long escape sequence.,0
Perfect in its visual storytelling.,1
Bad chase effects.,0
Will leave you emotionally shaken.,1
Clichéd secret experiment trope.,0
Perfect in its storytelling mastery.,1
Overly dramatic breakout scene.,0
Will be remembered as iconic.,1
Bad containment effects.,0
Perfect in its emotional depth.,1
Token rogue agent character.,0
Will leave you profoundly moved.,1
Overly long manhunt sequence.,0
Perfect in its narrative ambition.,1
Bad interrogation effects.,0
Will stand as a masterpiece.,1
Clichéd mole trope.,0
Perfect in its thematic unity.,1
Overly dramatic betrayal scene.,0
Will leave you completely astonished.,1
Bad undercover effects.,0
Perfect in its cinematic expression.,1
Token double agent character.,0
Will remind you of film's power.,1
Overly long infiltration sequence.,0
Perfect in its dramatic payoff.,1
Bad disguise effects.,0
Will leave you utterly convinced.,1
Clichéd assassination trope.,0
Perfect in its artistic vision.,1
Overly dramatic mission scene.,0
Will be remembered as visionary.,1
Bad sniper effects.,0
Perfect in its narrative cohesion.,1
Token hacker ally character.,0
Will leave you emotionally fulfilled.,1
Overly long cyber attack sequence.,0
Perfect example of pure cinema.,1
Bad firewall effects.,0
Will stand as a high water mark.,1
Clichéd nuclear threat trope.,0
Perfect in its emotional truth.,1
Overly dramatic countdown scene.,0
Will leave you profoundly affected.,1
Bad disarm effects.,0
Perfect in its thematic richness.,1
Token scientist character.,0
Will remind you why we make films.,1
"""Overly long research sequence.",0
"""Bad experiment effects.",0
"""Clichéd mutagen trope.",0
"""Overly dramatic outbreak scene.",0
"""Bad infection effects.",0
"""Token doctor character.",0
"""Overly long quarantine sequence.",0
"""Bad symptom effects.",0
"""Clichéd patient zero trope.",0
"""Overly dramatic containment scene.",0
"""Bad zombie effects.",0
"""Token survivalist character.",0
"""Overly long apocalypse sequence.",0
"""Bad wasteland effects.",0
"""Clichéd safe zone trope.",0
"""Overly dramatic rescue scene.",0
"""Bad militia effects.",0
"""Token scavenger character.",0
"""Overly long supply run sequence.",0
"""Bad trap effects.",0
"""Clichéd cure trope.",0
"""Overly dramatic sacrifice scene.",0
"""Bad immunity effects.",0
"""Token child survivor character.",0
"""Overly long journey sequence.",0
"""Bad roadblock effects.",0
"""Clichéd reunion trope.",0
"""Overly dramatic confrontation scene.",0
"""Bad ambush effects.",0
"""Token leader character.",0
"""Overly long standoff sequence.",0
"""Bad negotiation effects.",0
"""Clichéd redemption trope.",0
"""Overly dramatic betrayal scene.",0
"""Bad coup effects.",0
"""Token traitor character.",0
"""Overly long execution sequence.",0
"""Bad last stand effects.",0
"""Clichéd heroic sacrifice trope.",0
"""Overly dramatic final battle scene.",0
"""Bad victory effects.",0
"""Token rebuild character.",0
"""Overly long epilogue sequence.",0
"""Bad future effects.",0
"""Clichéd new beginning trope.",0
"""Overly dramatic hope scene.",0
"""Bad sunrise effects.",0
"""Token historian character.",0
"""Overly long documentary sequence.",0
"""Bad archive effects.",0
"""Clichéd framing device trope.",0
"""Overly dramatic reveal scene.",0
"""Bad twist effects.",0
"""Token narrator character.",0
"""Overly long flashback sequence.",0
"""Bad memory effects.",0
"""Clichéd unreliable narrator trope.",0
"""Overly dramatic realization scene.",0
"""Bad perspective effects.",0
"""Token detective character.",0
"""Overly long investigation sequence.",0
"""Bad clue effects.",0
"""Clichéd red herring trope.",0
"""Overly dramatic accusation scene.",0
"""Bad alibi effects.",0
"""Token suspect character.",0
"""Overly long interrogation sequence.",0
"""Bad confession effects.",0
"""Clichéd wrong man trope.",0
"""Overly dramatic chase scene.",0
"""Bad frame-up effects.",0
"""Token lawyer character.",0
"""Overly long trial sequence.",0
"""Bad evidence effects.",0
"""Clichéd courtroom twist trope.",0
"""Overly dramatic verdict scene.",0
"""Bad sentencing effects.",0
"""Token journalist character.",0
"""Overly long expose sequence.",0
"""Bad scandal effects.",0
"""Clichéd cover-up trope.",0
"""Overly dramatic confession scene.",0
"""Bad blackmail effects.",0
"""Token whistleblower character.",0
"""Overly long escape sequence.",0
"""Bad pursuit effects.",0
"""Clichéd safe house trope.",0
"""Overly dramatic ambush scene.",0
